date,product_type,units_demanded,total_revenue,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,rolling_mean_7,rolling_std_7,day_of_week,month,is_weekend
2023-04-03,Soft Drink,202,47554.28,109,155,169,189,140.0,53.31978994707328,0,4,0
2023-04-03,T-shirt,185,51815.45,229,142,180,199,139.71428571428572,52.75324408891626,0,4,0
2023-04-03,Tablet,171,37182.93,157,189,178,208,147.0,50.80682368868726,0,4,0
2023-04-03,Television,195,55920.61,155,185,106,158,150.57142857142858,50.28869038812208,0,4,0
2023-04-03,Thriller,55,13355.84,124,124,84,129,152.85714285714286,48.35779348229418,0,4,0
2023-04-03,Tools,94,21529.12,73,81,73,115,134.71428571428572,51.448078311097056,0,4,0
2023-04-03,Water,352,92121.24,406,429,405,267,179.0,111.24297730643512,0,4,0
2023-04-04,Bathroom,119,30875.800000000003,68,116,64,97,173.14285714285714,116.49810952890849,1,4,0
2023-04-04,Bedding,116,31924.0,91,102,76,100,153.42857142857142,117.1450057874957,1,4,0
2023-04-04,BlueStar AC,21,4325.889999999999,27,32,11,46,134.85714285714286,126.42181849062368,1,4,0
2023-04-04,Children's,54,12485.95,136,129,100,84,132.14285714285714,126.12087928045936,1,4,0
2023-04-04,Chocolate,95,27280.2,72,82,61,104,124.71428571428572,128.1947922573486,1,4,0
2023-04-04,Coffee,69,14009.5,128,96,63,107,132.57142857142858,126.16636786779743,1,4,0
2023-04-04,Decorations,194,51036.6,149,225,180,153,95.85714285714286,43.92959735542212,1,4,0
2023-04-04,Dress,72,15939.31,102,81,104,63,100.71428571428572,42.181015815625926,1,4,0
2023-04-04,Fiction,255,57864.03,262,314,246,311,125.14285714285714,73.50380618586719,1,4,0
2023-04-04,Fridge,145,35528.25,134,101,62,77,140.42857142857142,59.48068914322021,1,4,0
2023-04-04,Furniture,221,60139.38,151,126,194,183,142.57142857142858,59.56469072321618,1,4,0
2023-04-04,Headphones,104,24076.18,105,91,69,77,147.28571428571428,54.10395637324606,1,4,0
2023-04-04,Jacket,85,25754.59,57,76,95,99,137.14285714285714,64.06098285079254,1,4,0
2023-04-04,Jeans,78,20946.68,90,87,127,89,128.71428571428572,66.09012605453835,1,4,0
2023-04-04,Juice,156,37703.21,153,213,202,143,136.0,65.46245743426796,1,4,0
2023-04-04,Kitchen,95,23676.75,76,67,106,84,109.42857142857144,37.62471325630328,1,4,0
2023-04-04,Laptop,71,23926.45,140,59,97,71,110.28571428571428,38.339337003980106,1,4,0
2023-04-04,Lighting,52,13328.68,136,100,123,74,108.14285714285714,36.03437512259905,1,4,0
2023-04-04,Literature,107,28473.37,94,93,97,97,106.57142857142856,36.43193261804414,1,4,0
2023-04-04,Mitsubishi 1.5 Ton 3 Star Split AC,157,38672.98,82,168,58,89,110.14285714285714,31.67769231614239,1,4,0
2023-04-04,Non-Fiction,283,67746.8,192,197,210,287,124.71428571428572,42.484170721631926,1,4,0
2023-04-04,Shirt,90,25395.35,126,101,101,101,120.85714285714286,40.67525280162612,1,4,0
2023-04-04,Shoes,191,53966.76,163,199,166,147,133.28571428571428,37.88013677251935,1,4,0
2023-04-04,Shorts,112,31494.26,116,85,52,111,129.85714285714286,38.25540733643022,1,4,0
2023-04-04,Smartphone,312,79574.96,211,287,215,297,140.57142857142858,49.19978706883865,1,4,0
2023-04-04,Snacks,85,27873.48,56,95,46,60,135.14285714285714,56.71692449180876,1,4,0
2023-04-04,Soft Drink,203,52756.89,202,164,163,199,152.28571428571428,56.10916231096414,1,4,0
2023-04-04,T-shirt,198,49200.57,185,249,156,155,151.28571428571428,55.34050441197163,1,4,0
2023-04-04,Tablet,157,39301.25,171,188,153,164,157.71428571428572,54.52129335013482,1,4,0
2023-04-04,Television,157,42749.03,195,108,235,144,162.28571428571428,56.34925106190964,1,4,0
2023-04-04,Thriller,68,19908.76,55,73,52,75,153.57142857142858,68.1758929604329,1,4,0
2023-04-04,Tools,54,13731.61,94,84,113,77,136.85714285714286,66.05913656572827,1,4,0
2023-04-04,Water,348,86954.76,352,371,413,444,179.14285714285714,94.35293419113276,1,4,0
2023-04-05,Bathroom,96,22086.89,119,82,109,86,167.28571428571428,96.198950593227,2,4,0
2023-04-05,Bedding,52,15657.59,116,56,131,93,157.42857142857142,97.60610831783228,2,4,0
2023-04-05,BlueStar AC,69,17024.41,21,48,10,41,136.0,109.83017193224582,2,4,0
2023-04-05,Children's,104,23167.64,54,119,139,83,115.85714285714286,110.13541448512152,2,4,0
2023-04-05,Chocolate,90,21933.31,95,104,64,70,121.57142857142856,107.45674655856828,2,4,0
2023-04-05,Coffee,113,32971.61,69,129,33,103,118.0,108.93117092916972,2,4,0
2023-04-05,Decorations,201,46410.04,194,165,164,142,95.42857142857144,55.75200188590264,2,4,0
2023-04-05,Dress,84,24413.77,72,110,44,94,88.71428571428571,55.26817735886902,2,4,0
2023-04-05,Fiction,246,55567.68,255,284,299,218,108.57142857142856,84.13651039205493,2,4,0
2023-04-05,Fridge,110,30916.47,145,95,105,98,126.28571428571428,75.20574952691291,2,4,0
2023-04-05,Furniture,144,35169.22,221,191,157,215,150.14285714285714,74.9409291184922,2,4,0
2023-04-05,Headphones,77,22211.53,104,119,74,99,151.42857142857142,73.90727781677343,2,4,0
2023-04-05,Jacket,53,12323.75,85,116,72,99,153.71428571428572,71.12832133010107,2,4,0
2023-04-05,Jeans,118,27001.16,78,40,71,80,137.14285714285714,73.64651739090945,2,4,0
2023-04-05,Juice,213,54497.28,156,154,170,198,149.14285714285714,67.88084798976466,2,4,0
2023-04-05,Kitchen,97,24324.84,95,60,78,136,126.28571428571428,51.17849250650212,2,4,0
2023-04-05,Laptop,84,21837.12,71,97,97,46,115.71428571428572,54.22088861227518,2,4,0
2023-04-05,Lighting,79,19297.26,52,135,102,78,91.57142857142856,32.99927849139062,2,4,0
2023-04-05,Literature,88,16655.89,107,118,101,42,92.0,33.20642508109901,2,4,0
2023-04-05,Mitsubishi 1.5 Ton 3 Star Split AC,101,18924.39,157,104,110,95,102.28571428571428,40.92967255229484,2,4,0
2023-04-05,Non-Fiction,296,83377.62,283,285,307,269,131.57142857142858,77.5840557994084,2,4,0
2023-04-05,Shirt,63,11644.68,90,121,64,92,122.14285714285714,78.12901418258683,2,4,0
2023-04-05,Shoes,188,47331.37,191,188,214,155,135.85714285714286,80.94530781424494,2,4,0
2023-04-05,Shorts,111,20124.34,112,74,80,75,141.71428571428572,76.84988459265746,2,4,0
2023-04-05,Smartphone,275,82086.88,312,289,352,254,178.85714285714286,88.24856669549688,2,4,0
2023-04-05,Snacks,66,16490.170000000002,85,79,86,80,175.71428571428572,91.56366507466156,2,4,0
2023-04-05,Soft Drink,136,36212.19,203,150,180,253,182.28571428571428,91.64735727361771,2,4,0
2023-04-05,T-shirt,130,39455.93,198,172,184,166,170.14285714285714,81.10369611682044,2,4,0
2023-04-05,Tablet,159,40995.44,157,172,194,202,179.71428571428572,73.68336376169408,2,4,0
2023-04-05,Television,203,46045.23,157,247,166,201,174.85714285714286,73.93562193203101,2,4,0
2023-04-05,Thriller,60,15808.15,68,73,112,119,168.57142857142858,81.63915960464323,2,4,0
2023-04-05,Tools,60,17149.22,54,86,78,68,131.71428571428572,61.9615856417353,2,4,0
2023-04-05,Water,287,72937.17,348,384,218,392,169.28571428571428,98.10829778993276,2,4,0
2023-04-06,Bathroom,141,35296.01,96,92,102,84,154.0,100.291242555536,3,4,0
2023-04-06,Bedding,83,20624.47,52,92,106,82,133.14285714285714,104.7002524215814,3,4,0
2023-04-06,BlueStar AC,57,10571.13,69,43,22,54,120.57142857142856,106.62372647595396,3,4,0
2023-04-06,Children's,76,17579.48,104,88,70,71,113.0,105.48143596544998,3,4,0
2023-04-06,Chocolate,56,14366.22,90,101,53,115,116.14285714285714,104.23759489971064,3,4,0
2023-04-06,Coffee,74,22914.93,113,76,173,75,124.57142857142856,100.70064075078692,3,4,0
2023-04-06,Decorations,206,42052.22,201,178,154,190,103.57142857142856,47.745356293769866,3,4,0
2023-04-06,Dress,88,24729.95,84,116,101,133,101.85714285714286,48.27500585682172,3,4,0
2023-04-06,Fiction,280,59896.7,246,228,222,280,129.57142857142858,66.95485330394193,3,4,0
2023-04-06,Fridge,83,25975.34,110,131,134,122,135.42857142857142,62.41222407738504,3,4,0
2023-04-06,Furniture,255,75007.04,144,149,216,161,141.14285714285714,60.86714650621906,3,4,0
2023-04-06,Headphones,85,20006.41,77,87,90,65,139.28571428571428,62.8535713271047,3,4,0
2023-04-06,Jacket,120,24958.83,53,59,112,73,130.71428571428572,70.64397659087031,3,4,0
2023-04-06,Jeans,88,24781.41,118,103,94,47,118.85714285714286,63.483406155804616,3,4,0
2023-04-06,Juice,135,34175.56,213,209,164,224,137.28571428571428,70.06119773863016,3,4,0
2023-04-06,Kitchen,63,14056.04,97,76,79,87,116.0,51.77515491687744,3,4,0
2023-04-06,Laptop,56,14179.2,84,57,108,139,112.28571428571428,53.190582768363086,3,4,0
2023-04-06,Lighting,83,25897.54,79,72,66,110,103.0,52.39910940718981,3,4,0
2023-04-06,Literature,79,20790.24,88,47,42,74,104.57142857142856,51.64899851516029,3,4,0
2023-04-06,Mitsubishi 1.5 Ton 3 Star Split AC,49,11606.06,101,172,94,75,111.42857142857144,46.60063355383739,3,4,0
2023-04-06,Non-Fiction,286,74122.84,296,278,246,208,136.85714285714286,84.18912948718221,3,4,0
2023-04-06,Shirt,87,19867.2,63,101,91,99,115.42857142857144,80.59126739884647,3,4,0
2023-04-06,Shoes,180,54471.11,188,239,176,167,128.42857142857142,84.3738844723436,3,4,0
2023-04-06,Shorts,106,24869.97,111,71,171,114,132.28571428571428,82.60289398827442,3,4,0
2023-04-06,Smartphone,232,62715.05,275,228,213,339,160.28571428571428,93.96757292760516,3,4,0
2023-04-06,Snacks,70,12815.14,66,63,77,47,157.14285714285714,97.10377365037306,3,4,0
2023-04-06,Soft Drink,115,29718.92,136,175,167,166,162.14285714285714,94.59990939288942,3,4,0
2023-04-06,T-shirt,192,52444.39,130,125,133,203,138.42857142857142,74.01994583186611,3,4,0
2023-04-06,Tablet,121,32213.13,159,202,152,238,152.14285714285714,66.19523792395906,3,4,0
2023-04-06,Television,197,58253.93,203,187,211,191,154.28571428571428,67.77343207509946,3,4,0
2023-04-06,Thriller,99,27823.13,60,114,57,106,147.0,75.50275933147533,3,4,0
2023-04-06,Tools,92,20594.59,60,126,122,151,116.28571428571428,55.95448830884577,3,4,0
2023-04-06,Water,326,88882.58,287,418,303,349,147.85714285714286,80.02380598177984,3,4,0
2023-04-07,Bathroom,87,21404.4,141,73,132,104,148.57142857142858,79.92258158755301,4,4,0
2023-04-07,Bedding,78,26373.47,83,84,71,81,141.85714285714286,83.63099220470167,4,4,0
2023-04-07,BlueStar AC,17,4547.39,57,20,36,13,127.28571428571428,88.86828134138429,4,4,0
2023-04-07,Children's,89,24048.14,76,69,50,116,109.14285714285714,83.64494121270084,4,4,0
2023-04-07,Chocolate,101,31549.27,56,109,74,99,108.57142857142856,84.04930525760282,4,4,0
2023-04-07,Coffee,68,18971.93,74,117,37,100,110.57142857142856,82.85903117716883,4,4,0
2023-04-07,Decorations,197,53042.35,206,152,181,170,99.0,55.13014904145746,4,4,0
2023-04-07,Dress,88,18454.76,88,100,55,119,91.42857142857144,51.94823430703898,4,4,0
2023-04-07,Fiction,296,78167.2,280,271,277,188,119.57142857142856,87.68857231296282,4,4,0
2023-04-07,Fridge,107,32210.53,83,157,134,104,123.28571428571428,85.1091735864673,4,4,0
2023-04-07,Furniture,241,61006.82,255,215,195,149,148.85714285714286,94.8655690462889,4,4,0
2023-04-07,Headphones,71,18662.76,85,120,112,90,153.0,90.67524469225336,4,4,0
2023-04-07,Jacket,116,30920.94,120,88,94,91,159.57142857142858,85.51580193714145,4,4,0
2023-04-07,Jeans,74,15601.84,88,106,76,97,142.71428571428572,86.46331454382704,4,4,0
2023-04-07,Juice,146,40505.98,135,190,134,209,149.42857142857142,83.27235864490527,4,4,0
2023-04-07,Kitchen,54,8981.81,63,79,106,122,118.42857142857144,64.9354991327474,4,4,0
2023-04-07,Laptop,108,25746.17,56,140,106,148,114.57142857142856,68.1147491195485,4,4,0
2023-04-07,Lighting,128,37839.86,83,63,91,43,90.0,28.542366171476267,4,4,0
2023-04-07,Literature,91,25005.43,79,55,121,110,89.14285714285714,28.806414629548904,4,4,0
2023-04-07,Mitsubishi 1.5 Ton 3 Star Split AC,53,17697.989999999998,49,106,73,108,79.0,28.62982128247788,4,4,0
2023-04-07,Non-Fiction,300,79108.81,286,292,278,241,107.28571428571428,83.75104832321847,4,4,0
2023-04-07,Shirt,55,9661.31,87,120,91,92,100.42857142857144,83.06595199570252,4,4,0
2023-04-07,Shoes,127,30129.91,180,192,178,109,117.14285714285714,85.99889257315766,4,4,0
2023-04-07,Shorts,107,31234.43,106,90,74,106,124.28571428571428,82.06037266491516,4,4,0
2023-04-07,Smartphone,284,70864.33,232,299,286,320,145.57142857142858,88.62816922938437,4,4,0
2023-04-07,Snacks,73,18466.57,70,77,82,95,144.28571428571428,89.81223800372702,4,4,0
2023-04-07,Soft Drink,163,50554.87,115,151,103,205,153.71428571428572,81.19259877130499,4,4,0
2023-04-07,T-shirt,141,40707.03,192,166,188,184,140.28571428571428,60.90625114527603,4,4,0
2023-04-07,Tablet,219,55108.09,121,94,197,214,145.14285714285714,57.19099163163319,4,4,0
2023-04-07,Television,131,36250.94,197,226,187,145,147.57142857142858,59.24203784154512,4,4,0
2023-04-07,Thriller,132,30819.03,99,49,108,92,146.57142857142858,60.11338492897453,4,4,0
2023-04-07,Tools,99,26428.21,92,140,121,57,126.57142857142856,49.26410844572728,4,4,0
2023-04-07,Water,453,114671.57,326,332,295,367,163.14285714285714,83.437458756901,4,4,0
2023-04-08,Bathroom,77,24342.71,87,82,74,94,159.14285714285714,86.73605281048293,5,4,1
2023-04-08,Bedding,89,23680.16,78,73,64,57,142.85714285714286,90.17284988921482,5,4,1
2023-04-08,BlueStar AC,8,1134.36,17,50,31,42,128.0,102.14695296483394,5,4,1
2023-04-08,Children's,85,23218.1,89,71,100,80,112.57142857142856,98.0626621823296,5,4,1
2023-04-08,Chocolate,95,25518.47,101,81,86,60,112.85714285714286,98.0194344189432,5,4,1
2023-04-08,Coffee,96,26356.96,68,68,60,64,109.42857142857144,99.28218561732191,5,4,1
2023-04-08,Decorations,114,35385.840000000004,197,171,205,150,91.0,54.05244366970497,5,4,1
2023-04-08,Dress,95,22868.45,88,68,97,135,91.14285714285714,54.04143031486262,5,4,1
2023-04-08,Fiction,329,93676.67,296,262,260,234,122.28571428571428,93.56586679217703,5,4,1
2023-04-08,Fridge,97,17798.89,107,85,105,96,135.14285714285714,82.17750821935928,5,4,1
2023-04-08,Furniture,156,38561.98,241,171,102,167,156.85714285714286,87.8396808043469,5,4,1
2023-04-08,Headphones,111,28006.29,71,109,64,54,152.57142857142858,91.66761904267176,5,4,1
2023-04-08,Jacket,116,29570.01,116,75,93,72,159.42857142857142,85.90082875591136,5,4,1
2023-04-08,Jeans,90,24130.36,74,92,69,57,141.85714285714286,89.44165429937853,5,4,1
2023-04-08,Juice,126,29575.09,146,194,158,190,150.14285714285714,86.25046583725144,5,4,1
2023-04-08,Kitchen,117,26960.21,54,119,64,70,115.57142857142856,63.55799751108462,5,4,1
2023-04-08,Laptop,107,29932.6,108,54,88,123,115.71428571428572,63.53664109712405,5,4,1
